Ticket,Authority
"#فيديوا || ضمن جهودنا المبذولة لرفع كفاءة الجسور المحورية والأنفاق بحاضرة #الدمام تم الانتهاء من أعمال صيانة فواصل التمدد لأربعة جسور على طريق الأمير محمد بن فهد . 
 
 #أمانة_المنطقة_الشرقية 
 #نعمل_لأجلكم",وزارة الشؤون البلدية والقروية والإسكان
"إلزامية توفر ترخيص دفاع مدني ساري كمتطلب من متطلبات تجديد الرخصة التجارية ابتداءً من تاريخ 20 / 02 / 2024م 
 
 #أمانة_المنطقة_الشرقية",وزارة الشؤون البلدية والقروية والإسكان
"#بلدية_الصرار
 العناية في الحدائق والمسطحات الخضراء وذلك لزيادة نسبة الفرد من المسطحات الخضراء بالمدينة.",وزارة الشؤون البلدية والقروية والإسكان
"#يحدث_الآن
 حفاظًا على السلامة المرورية ؛ بلدية مليجة تبدأ أعمال تخطيط الشوارع الرئيسية و طلاء الأرصفة و المطبات، ضمن جهودها في #تحسين_المشهد_الحضري .",وزارة الشؤون البلدية والقروية والإسكان
"بدأنا بالعمل في ردم وتسوية شوارع مخطط 98 في حي الندى بغرب الدمام تمهيداً لأعمال السفلتة.
 
 #أمانة_المنطقة_الشرقية",وزارة الشؤون البلدية والقروية والإسكان
استمرار أعمال تأهيل الشوارع في حي المنار بغرب الدمام، ضمن جهود #أمانة_المنطقة_الشرقية لرفع كفاءة الطرق .,وزارة الشؤون البلدية والقروية والإسكان
"للحد من عناصر التشوّه البصري في المباني
 
 #بلدية_غرب_الدمام ممثلة في إدارة ضبط التنمية تشعر عدداً من المباني و تستقبل طلبات شهادة الامتثال في الشوارع المستهدفة.
 
  للتقديم على إصدار الشهادة، حمّل تطبيق بلدي
  http://onelink.to/baladyapp",وزارة الشؤون البلدية والقروية والإسكان
"نعمل على إزالة المطاعم القديمة بكورنيش الخبر و الدمام ،امتداداً لجهودنا المستمرة لتطوير المواقع الاستثمارية القديمة واتاحة مساحات عامة أكبر . 
 
 #أمانة_المنطقة_الشرقية
 #الاستثمار_البلدي
 #فرص",وزارة الشؤون البلدية والقروية والإسكان
"عزيزي مالك المبنى:
 ترك مخلفات ومواد البناء على رصيف المبنى مخالفة لاشتراطات شهادة امتثال المباني ، بادر بإزالتها لإصدار الشهادة
 
 #غاليه_علينا",وزارة الشؤون البلدية والقروية والإسكان
"لنضيف جمالاً بصرياً على دوار الميناء شمال مدينة #الجبيل الممتد على طريق الملك عبدالعزيز، شكلنا حاويات النقل كمجسم جمالي على ارتفاع 60.50 متر، لتنسجم مع الدور الوظيفي لها بساحات الميناء على مساحة 1135 متر مربع بقطر كامل يبلغ 38 متر .
 
 #أمانة_المنطقة_الشرقية",وزارة الشؤون البلدية والقروية والإسكان
"#أمانة_الشرقية لـ""#اليوم"": تنفيذ مشروعين لتصريف مياه الأمطار في العزيزية
 
 @EasternEamana",وزارة الشؤون البلدية والقروية والإسكان
للتشوّه البصري جزاءات ومخالفات ،اعرفها واحمي مدينتك منها,وزارة الشؤون البلدية والقروية والإسكان
"#انفوجرافيك || 43 محطة تصريف مياة أمطار بحاضرة الدمام جاهزة -بإذن الله-بمتابعة من غرفة العمليات والتحكم بمركز الأزمات والمخاطر للتعامل مع الحالة المطرية القادمة . 
 
 #أمانة_المنطقة_الشرقية 
 #موسم_الأمطار 
 #كن_حذراً",وزارة الشؤون البلدية والقروية والإسكان
"ساهم في #أنسنة_المدن بالتبليغ عن مخالفات تنفيذ أعمال البناء، أو الهدم، أو الترميم بدون التعاقد مع ناقل نفايات معتمد عبر #تطبيق_بلدي
 
 حمّل التطبيق: http://bit.ly/3pnANFk
 
 #خدماتك_البلدية_رقمية
 #صوّر_وأرسل",وزارة الشؤون البلدية والقروية والإسكان
انتباه .. هناك حفرة عميقة في شارع أنس بن مالك,وزارة الشؤون البلدية والقروية والإسكان
"هذه ليست حلول مرورية ولا حتى هندسية وانما عملية نقل لزحام الإشارة الي موقع اخر قريب وعادة ليوتيرن (الاسواء تشغياً وسلامة)!
 
 نفس الفكرة مطبقه عند مجمع النور مول والازدحام اصبح من دقائق الي ساعات!
 الامانة المفترض الجهة المسئولة وليس المرور!",وزارة الشؤون البلدية والقروية والإسكان
كيف ستبدو المصليات المؤقتة على الطرق السريعة بمنطقة,وزارة الشؤون البلدية والقروية والإسكان
المفروض بين الراشد مول ومواقف النقل الترددي شظاه جسر مشاه أغلب الحريم يبغون يتسوقون ويروحون للحرم بس الزحام مانعهم وبعضهم ماعندهم سيارات.,وزارة الشؤون البلدية والقروية والإسكان
"فكرة الغاء الاشارات المرورية بدأت من طريق الملك عبدالعزيز و لاحظنا تحسن كبير في الحركة المرورية بعد التوسع فيها بعدد من الطرق .
 
 كما نتمنى تطوير سريع لطريق الامير سلطان بن عبدالعزيز ودراسة وضع المطبات .
 
 كذلك أغلاق اشارة الممشى .",وزارة الشؤون البلدية والقروية والإسكان
شوارع المدينه صارت عباره عن صبات,وزارة الشؤون البلدية والقروية والإسكان
ما راح تنحل مشكلة الهجرة لازم مخرج ثاني قدام ضل التوفير,وزارة الشؤون البلدية والقروية والإسكان
"ياسعد نبي مخرج يرجعنا على مسجد القبلتين
 ماهو معقول نقطع الطرق ونوصل 
 للكبري وثم نعود مشاوير والله",وزارة الشؤون البلدية والقروية والإسكان
امانة المدينه المنوره ياليت تشوفولنا حل للباصات الموقفه ع ندخل حارة سيد الشهداء عند الدفاع المدني مضيقين الخط ومسببين زحمه وازعاج..,وزارة الشؤون البلدية والقروية والإسكان
أستاذ سعد الحربي ممكن تمر مدخل سيد الشهداء من عند الدفاع المدني عندنا مشكله في وقوف الباصات ع مدخل الحاره ياليت تشوفلنا حل مع الباصات مررا مقفله الشارع,وزارة الشؤون البلدية والقروية والإسكان
ياليت يشوفون لنا حل سكان حي الشروق مافي الا مدخل واحد للحي وبعيد خاصه على اللي ساكن اخر المخطط مسافة كبيره متى يفتحون لنا من طريق القصيم الرياض,وزارة الشؤون البلدية والقروية والإسكان
باقي الجهه المقابله ضروري والله مو معقوله نمسك الخدمه كامل الي ساسكو,وزارة الشؤون البلدية والقروية والإسكان
التصريف في شارع الإمام البخاري ??/?? !!!!!!!!!,وزارة الشؤون البلدية والقروية والإسكان
"مع كل هطول للامطار نعاني من تجمع المياة وروائح كريهة من الصرف الصحي، وانتشار حشرات كالبعوض في ممشى الدعيثة شارع الامام الترمذي بالمدينة المنورة اصبحت مزعجة لسكان الحي بشكل غير معقول ولا مقبول ..
 نرجوا حل نهائي فالحلول الموقته لاتجدي نفعاً..",وزارة الشؤون البلدية والقروية والإسكان
غرق السيارت في حي السلام,وزارة الشؤون البلدية والقروية والإسكان
السلام عليكم ورحمة الله مدينة ينبع الان من 5 سنوات ايقاف شامل لارخص بناء لاترميم لابيع لاشراء لاتحديث صكوك ولا اي شي لقد تضررنا ضرر كارثي ومعاناة مستمرة للأسف الشديد واموال ارامل و ايتام في حاجة ماسه عطلت وحجزت الى متى سيستمر الوضع الكارثي هذا اتقوا الله فينا,وزارة الشؤون البلدية والقروية والإسكان
السلام عليكم كيف طريقه تقديم على مطب اسفلتي امام المنزل حيث ان السياره تاتي بسرعه جنونيه امام المنزل واكثر من مره تصتدم سيارتنا وهيا واقفه امام باب المنزل,وزارة الشؤون البلدية والقروية والإسكان
مشروع الانسنة جميل والتشجير لكن ينقصه ممرات المشاة بين الطرق، حاولت اقطع طريق السلام أمس لم اجد ممر مشاه وقطعت الطريق وكاد احد الباصات يودي بحياتي,وزارة الشؤون البلدية والقروية والإسكان
زحام الدائري الثاني في,وزارة الشؤون البلدية والقروية والإسكان
يا ليت الامين يشوف حل للزحام,وزارة الشؤون البلدية والقروية والإسكان
بعد تضييق الشوارع لعيون السياكل صار الدائري كل ليلة هذا منظره ، شكراً,وزارة الشؤون البلدية والقروية والإسكان
السلام عليكم انتشرت روابط لمنح اراضي في المدينه المنوره ماتعليقكم هل هي صحيحه ؟,وزارة الشؤون البلدية والقروية والإسكان
"السلام عليكم
 توجد رسالة منتشرة في الواتساب انه توجد منح اراضي والتسجيل في الرابط والرابط يؤدي لتسجيل الدخول للبيانات الشخصية في نفاذ 
 
 ننتظر منكم الرد والتوضيح لكي لايقع المواطن ضحية
 هل تسجيل المنح والرابط صحيح ام لا؟ 
 وجزاكم الله خير",وزارة الشؤون البلدية والقروية والإسكان
"المظلات مسموحه او ممنوعة 
 
 ما لقينا جواب صريح موظف يقول ممنوعه وموظف يقول مسموحه موظف يقول قربها للجدر الثاني يقول تبعدها من الجدر 
 
 ممكن كرما جواب كافي",وزارة الشؤون البلدية والقروية والإسكان
"حبيبنا حفظكم المولى
 منظر مؤسف كل يوم نراه بعد التراويح ومن المؤسف أن سيارة الآمانة متواجده ولاتحرك ساكنا
 وذلك أن الباعة المتجولين بكثرة عندما تخرج من الحرم النبوي جهة باب الملك فهد يبغون الماء وغيره مما يضيق الطريق على المارة 
 هذا كمثال",وزارة الشؤون البلدية والقروية والإسكان
أتمنى المزيد من التطور والتقدم في مدينة الحبيب صلى الله عليه وآله وأصحابه أجمعين.,وزارة الشؤون البلدية والقروية والإسكان
"هناك مسار مهم جداً جداً وفيه إحياء نفس 
 
 لماذا لا نشاهد مسار خاص ب سيارات الاسعاف فقط",وزارة الشؤون البلدية والقروية والإسكان
والله ابدع امين المدينه الله يعطيه العافيه فعلاً انجز مشروعات جميله بالمدينه ياليت يلتفت لموضوع تكبير الارصفه اللي عند المحلات اللي ماله داعي ابد,وزارة الشؤون البلدية والقروية والإسكان
ماشاءالله تبارك الله ابداع روعه وجمال واتقان لكل المسارات وخصوصًا مسار الدراجات ومحطات الدراجات كذلك شكرًا لكم,وزارة الشؤون البلدية والقروية والإسكان
عندي مياه متجمعة أمام المنزل لها سنين ومحد تحرك لا بلدية ولا غيره بتسبب لنا اضرار,وزارة الشؤون البلدية والقروية والإسكان
الله يجزاهم خير يارب تكلفة الوحده منها 3 الاف دولار يعني مايقارب مع وصولها وشحنها 12 الف ريال من تركيا وفيها طاقه شمسيه حساسات بالهواء القوي تتقفل كل شي مبهر ومبهج بنفس الوقت رعى الله حكومتنا الرشيده وايدها بنصره وادام عزهم وفضلهم والشكر لامانة المدينة بقائدها,وزارة الشؤون البلدية والقروية والإسكان
تكفون ياامانة المدينة فكونا من ريحة المجاري والله مو عارفين ننام حنا سكان حي الشافية نعاني من انبعاث خطير من روائح الصرف الصحي الصادرة من محطة الخليل ، كيف حي سكني بجانبه محطة الصرف ؟ من المتسبب في اعتماد المخطط ؟ من المتسبب في هذه الكارثة الخطيرة ؟ حسبنا الله ونعم الوكيل .,وزارة الشؤون البلدية والقروية والإسكان
"في ليلة جمعت بين شرف الزمان وعِظم المكان..
 سمو أمير منطقة مكة",وزارة الشؤون البلدية والقروية والإسكان
إحصائيات أعمال البلدية في معالجة التشوه البصري من خلال فريق وحدة معالجة التشوه.,وزارة الشؤون البلدية والقروية والإسكان
فعلا نعاني جميعا من سوء الخدمات في مخطط الشروق بالاضافه الى الطرق والاناره غير مكتمله ونحن في عهد الرؤيا نستغرب عدم الاهتمام به اذا نرجو توصيل صوتنا لاميرنا الغالي وانا متاكد خلال ايام ان شالله نلقى الاستجابه السريعه,وزارة الشؤون البلدية والقروية والإسكان
سكان حي الشروق ف المدينة المنوره يتمنون زيارة امير منطقة المدينة المنورة ليرى بعينه ماينقص هذا الحي من خدمات اساسيه وتجاهل تااام من الامانه ومن ادارة التعليم,وزارة الشؤون البلدية والقروية والإسكان
المخطط فعلا ينقصة الكثير من الخدمات الفوريه مثل الإناره وسفلتت الشوراع وترصيفها والكثير من الخدمات الضروريه مثل البقالات نرجوا من امانة المدينه كماعهدناها الاهتمام بهذا المخطط,وزارة الشؤون البلدية والقروية والإسكان
"كلامك صحيح اخوي فايز يحتاج تكملة انارة طريق الملك عبدالعزيز والاناره الداخليه والزفلته للمخطط المخطط موحش ليلا
 الامل بالله ثم بامانة منطقة المدينه المنوره",وزارة الشؤون البلدية والقروية والإسكان
"تم تقديم الطلب منذ عده سنوات ولم يتم النظر في ذلك
 وتم رفع طلبات من أهالي الحي لوزاره الشؤون البلديه 
 نتطلع من معالي الأمين النظر في ذلك 
 بعمل ممشى حول جبل حمراء الاسد وتطويره 
 من حدائق للأطفال وجلسات للعوائل فهو المتنفس الوحيد للحي",وزارة الشؤون البلدية والقروية والإسكان
أحسنت بارك الله فيك، وفكرة مبتكرة للمدن الذكية مع ربط السلوك بالتقنية في إحدى المراحل أن أمكن بما في ذلك رمي النفايات الشخصية في الطرقات منشأة او عام ،مع الغرامة,وزارة الشؤون البلدية والقروية والإسكان
"شواهد حضارية .. وطاقة متجددة 
 واستجمام لضيوف الرحمن والزائرين ..
 دام عزك ياوطن",وزارة الشؤون البلدية والقروية والإسكان
بعد امانة المدينة المنورة اعلن اعجابي ب بلدية الخبر.,وزارة الشؤون البلدية والقروية والإسكان
"أتمنى على وزارة الشؤون البلدية أن تستنسخ أو تنقل أو على الأقل تُكرّم أمانة المدينة المنورة..
 وأن تعمل عندهم دورات تثقيفية لأمانة العاصمة المقدسة..
 مكة شوارعها اسفلت أسود وطوب تتوحد مع جبالها الجرداء لتحولها في الصيف إلى فرن لاهب.",وزارة الشؤون البلدية والقروية والإسكان
"السلام عليكم
 لدينا معاملة رفع مساحي في الامانة
 برقم الطلب ?????? وصدرت لنا فاتورة سداد برقم الاحاله ????????? بتاريخ ????/??/?? بمبلغ ????.?? ريال
 وقمنا بسداد المبلغ ولكن المعاملة لم تتم ولم يتم الاستفاده من السداد
 لذا نامل الافادة كيف يتم استعادة المبلغ المدفوع",وزارة الشؤون البلدية والقروية والإسكان
نرجو ايجاد حل جذري لمشكلة الصرف الصحي بحي العزيزية شارع الامام الترمذي في كل هطول امطار يفيض الصرف بالحي وانتشار لروائح الصرف والمنازل اصبحت لا تطاق بسبب الرائحة وثباتها في المكيفات والمنازل علماً انه قد تم تقديم شكوى اكثر من مره على مدى السنوات الماضية بدون اي نتيجة .,وزارة الشؤون البلدية والقروية والإسكان
أمانة الرياض تواصل تكثيف جولاتها في احياء وطرق الرياض بالتعاون مع عدد من الجهات الشريكة، حيث ضبطت من خلالها الفرق الميدانية في احياء شمال الرياض على عدد من المعدات والاليات المخالفة و 15 مخالف لنظام العمل.,وزارة الشؤون البلدية والقروية والإسكان
"يعاني سائقي الباصات عند الذهاب للحرم 
 من هذا الدوران بطريق الامير نايف
 حيث الحواجز تحتاج الى توسع من اجل ايجاد مساحة اكبر للدوران للباص",وزارة الشؤون البلدية والقروية والإسكان
ياليت كرماً تتجاوبون مع المقترح لانه يحسن من وضع الزحام ويخفف الضغط على القادمين للمسجد النبوي والمناطق المحيطة، وخاصة نحن مقبلين على فترات زحام متوقعة.,وزارة الشؤون البلدية والقروية والإسكان
"شكرا صاحب السمو الملكي امير منطقة المدينة 
 شكرا هيئة تطوير منطقة المدينة المنورة 
 سيكون هذا المتحف وجهة جميع زوار المسجد النبوي الشريف لقربه من المسجد النبوي وسهولة الوصول له .....وهو متحف يمثل العمق التاريخي للمدينة المنورة والذي يمتد لاكثر من 1400 عام بعد الهجرة النبوية الشريفة",وزارة الشؤون البلدية والقروية والإسكان
"ترك المكان اللي. لو بني ??? فندق سوفا تتمتلي ???? في حي الشهداء زواره ملايين سنويا ومع هذا الحي مهمل عشوائي تمكين المقيمين من العبث في الحي وزواره جار الحرم وان وجد فيه مشروع ينفذ (بكسل)
  وأهمال تام. الخي اصبخ (البقعه السوداء)
 في المدينه المشاهده لكل زائر",وزارة الشؤون البلدية والقروية والإسكان
"يعتبر مطب وممر مشاة أمام الراية شارع ساري بالمدينة المنورة 
 في بداية المطب مركبين قطع حديد والمفترض إسمها عيون القطط ولكن الواقع يقول عيون ديناصور لكبر حجمها ومنتشرة في كل طرق وشوارع وأحياء المدينة المنورة 
 ساهمت بشكل كبير في ضرر عضلات السيارات
 المستفيد من تركيبها بكميات كبيرة",وزارة الشؤون البلدية والقروية والإسكان
وتمطر المدينة بأمطار رحمة من العلي القدير ويغرق سكانها بالمستنقعات في الكثير من طرقاتها رغم أن هذه الطرق بعض منها بجوار أوديتها وبعضها فوقها مباشرة,وزارة الشؤون البلدية والقروية والإسكان
"ما خليتونا نفرح بالمطر .. الحي عندنا من رش بسيط للمطر الشارع تقفل واللي يقهر حله بسيط ومن زمان نرسلكم يبي له بس تعديل ورفع مستوى الشارع من جهة حتى يروح الماء للجهة الأخرى ويمشي في مجراه الطبيعي لكن لا حياة لمن تنادي.
 شغالين في كل شارع تسوون ممشى",وزارة الشؤون البلدية والقروية والإسكان
"اسعد الله صباحكم بالخير .. الاخوة الاعزاء في أمانة المدينة 
 اولاً شكراً على مجهوداتكم التي تذكر فتشكر 
 ثانياً ارجوا منكم النظر في سفلتة هذه المنطقة لكل المسارين اسفلت سيئ جداً و مكسر ، حيث يعتبر شارع رئيسي و حيوي لحي ورقان",وزارة الشؤون البلدية والقروية والإسكان
"رسميًا:
 
 أمير منطقة المدينة المنورة، يدشن",وزارة الشؤون البلدية والقروية والإسكان
رجعوا الاضاءه القديمه بالمنطقه المركزيه,وزارة الشؤون البلدية والقروية والإسكان
"السادة بلدية الحناكية
 أعمدة الإنارة على طريق الحناكية-النخيل الموازي للمحفر و المقابل لمصنع الصقر معطلة الإضاءة حالياً مما يشكل خطورة على عابري الطريق.
 علماً أنها دائماً ماتتعرض للعطل المفاجيء عند هبوب ابسط الرياح !!",وزارة الشؤون البلدية والقروية والإسكان
للآسف تم تغيير الاعمده السابقة وتركيب لمبات واعمده خفيفة تحرفها الرياح كل أتجاه للأسف الجهات المختصة وهي ب,وزارة الشؤون البلدية والقروية والإسكان
"مبارك عليكم الشهر…
 ي ليت تشوفون لنا حل في ينبع في ذا الطريق
 تشوه بصري بمعنى الكلمة ودمار للسيارات … حفر ومطبات بشكل غير معقول والطريق في منتصف المحافظة يعتر وهذا موقع الطريق..",وزارة الشؤون البلدية والقروية والإسكان
"حفظ الله قيادتنا الحكيمة في جميع ماتقوم به من أعمال على مختلف الاصعدة نفع الله بهم الإسلام والمسلمين
 
 لدي مبادرة للمدينة المنورة عشقنا وعشق جميع المسلمين وفيه نفع مادي ونفع حضاري وخدمي كيف لي أن أوضح هذه المبادرة لهيئة تطوير المدينة للاستفادة منها",وزارة الشؤون البلدية والقروية والإسكان
شارع الحكم بن كيسان بالعزيزيه بمخطط الدفاع الثالث الاضاءه مطفيه من امس نرجوا اصلاحها,وزارة الشؤون البلدية والقروية والإسكان
إعادة فتح الحركة المرورية لخط الخدمة لدوار السلام للقادمين من الغرب ..,وزارة الشؤون البلدية والقروية والإسكان
"هل طبيعي الخط يكون مسار لسيارة واحدة فقط !!!
 يجب أن يكون مسارين ع الاقل
 بالامكان تقليص الرصيف الجانبي وتوسيع الخط
 سبسبب حوادث ان استمر المسار لسيارة واحده فقط !!",وزارة الشؤون البلدية والقروية والإسكان
"نور طيبه الطيبةبقدومه. 
 ملاحظة معالي الأمين. تم إغلاق وإلغاء تقاطع عمير بن الحارث في حي الازهري مما تسبب في قطع الوصول لأربع أحياء الا عن طريق يوترن قبل الوادي او قبل دوار مشاري نامل النظر بعمل دوار او تقاطع لحل مشكله تسبب فيها امتداد الشارع. حفظكم الله",وزارة الشؤون البلدية والقروية والإسكان
قدمت اليوم الظهر للبلدية وبعد 8 ساعات جاتني رساله تم الغاء الطلب على اي اساس يتم الغاء الطلب,وزارة الشؤون البلدية والقروية والإسكان
"قبل كنا نشوف ملامح الشارع 
 
 الان قبييييحح 
 
 بالواقع اسوء من التصوير",وزارة الشؤون البلدية والقروية والإسكان
السلام عليكم ورحمة الله وبركاتة في ضل أرتفاع درجة الحرارة يقومون محلات الثلاجات في سوق الخضار المركزي بالمدينة خصوصا الجهة الشرقية من الداخل بوضع كراتين الماء في الشمس الحارقة وعرضها للبيع بدون رقيب اوحسيب,وزارة الشؤون البلدية والقروية والإسكان
إستكمال سفلتة الطريق الرئيسي المؤدي لمخطط الشروق في,وزارة الشؤون البلدية والقروية والإسكان
كل مرة اقدم بلاغ للأمانة ويرسلو لي تم التعامل مع البلاغ و لا تغير شي رلا شالو شي هذي بعض البلاغات الي صورت الشاشة,وزارة الشؤون البلدية والقروية والإسكان
تعبت ارسل صور بتطبيق بلدي مـا استفدت شي الجيران يرمو الزبالة عند بابي وسيارة البلدية يجو يختارو كيس متها ياخذوه ويخلو الباقي ويروحو تعبناواحناننقل زبايلهم للحاويةالكبيرة حطيت لوحةماحد يقراها يرمو ويروحو ارسلت لبلدي مذكرةوساهم صور وارسل البصري وطلب ازالة نفايات كله مافاد !ايش الحل,وزارة الشؤون البلدية والقروية والإسكان
نتمني أن تشمل هذه الصيانه معالجة الطرق بحي الدفاع الزفلته متهالكه,وزارة الشؤون البلدية والقروية والإسكان
"استفسار هل حي العزيزية شامل نظام التسجيل في منصه العقاري او لا 
 وهل الحي شامل شهادة امتثال المبانى الجديد او لا",وزارة الشؤون البلدية والقروية والإسكان
نأمل من البلدية استغلال الفترة الصباحية خلال شهر رمضان المبارك لإصلاح التشققات في الأسفلت لكوبري? المؤدي إلى السويق نظرا لقلة حركة السيارات في هذه الفترة نرغب في إبلاغكم بأنه تم رفع بلاغ عبر تطبيق بلدي وتمت معالجته في النظام ولكن حتى الآن لم يتم التعامل معه على أرض الواقع.,وزارة الشؤون البلدية والقروية والإسكان
"وسعو الدوران اللي اسفل كبري طريق الامير نايف وكبري طريق الملك عبدالعزيز.
 مسار واحد مايكفي ضيقتوا على الناس حسبنا الله ونعم الوكيل فيكم",وزارة الشؤون البلدية والقروية والإسكان
اتمنى تلقون نظرة على المشاريع الصور قبل وبعد في,وزارة الشؤون البلدية والقروية والإسكان
"تخبط في التخطيط .. أين مسار الحافلات؟!!!!!!!!!!!!!!!!!!!!!
 الحافلات تستخدمها دول العالم الثالث .. كان المفروض مترو مرتفع أو مونوريل يليق بمكانة المدينة وزوارها حيث أن المترو المرتفع والمونوريل ماتاخذ مساحة من الطريق ولا تسبب زحام ..",وزارة الشؤون البلدية والقروية والإسكان
كثروا من كاميرات تحديد المسار عند اليوتيرات عشان الي يجي من الجنب يتأدب,وزارة الشؤون البلدية والقروية والإسكان
بالله .. ياريت تجو الجرب وتشوفو الطريق الفاصل بين الجرف و الازهري اخرج من مخطط الشريف منصور عشان ارجع طريق العيون اديور من شارع الجرف العام ليششششش الطريق اول افضل واجمل من الان,وزارة الشؤون البلدية والقروية والإسكان
في حي الخاتم ، تم الغاء الدوار وتفعيل التفاف باتجاه واحد فقط وليس اتجاهين في طريق قباء ، نتمنى اعادة النظر في ذلك,وزارة الشؤون البلدية والقروية والإسكان
مناخ المدينة المنورة مثل مناخ سويسرا ولذلك قاموا بكل هذه التغييرات على مستوى البيئة المبنية ذات النطاق القريب من حركة الناس!,وزارة الشؤون البلدية والقروية والإسكان
لو أكملوا جميلهم بمترو سريع من وإلى المسجد النبوي وقباء وجبل أحد وغيرها من معالم المدينة النبوية لصنعوا معروفا عظيما لا يُنسى,وزارة الشؤون البلدية والقروية والإسكان
السلام عليكم ورحمة الله وبركاته. شكرا لكم لما تقدمونه من خدمات للمدينة واهلها. لذا نآمل منكم رفع الضرر عن سكان الحي وخصوصا بالقرب من مسجد الريان بجوار البنك الاهلي طريق الملك عبدالعزيز قبل مطعم الناضج. هذه الحاوية التي تعترض الشارع. وجزاكم الله خير.,وزارة الشؤون البلدية والقروية والإسكان
"تشرفت وسعدت أن اكون احد قادة التطوع المرشحين لحضور البرنامج الدولي لتمكين القيادات التطوعية لتنفيذ مبادرات نوعية تثري العمل التطوعي في مدينتنا
 
 برنامج ثري التقيت فيها مع نخبة من القيادات في العمل الاجتماعي سعدت بالتعرف عن قرب على امثالهم",وزارة الشؤون البلدية والقروية والإسكان
منتزه البيضا ب,وزارة الشؤون البلدية والقروية والإسكان
نحتاج الأرصفة الموحدة داخل الأحياء أحد يفهمهم,وزارة الشؤون البلدية والقروية والإسكان
"عندي معاملة لها ثلاث اشهر تقريبا بأدارة الدعم الفني لبلديات المحافظات والمراكز بأمانة المدينة المنورة وهيا طلب ترخيص ملعب بادل هل يعقل معاملة بقسم لها ثلاث اشهر ولم يبت فيها والأدهى والأمر من ذالك أنها واردة من مكتب الوزير رقم المعاملة هو 4500716318
 رق",وزارة الشؤون البلدية والقروية والإسكان
قدمت عدة طلبات خدمة بلدية، وتم إغلاق معظم الطلبات التي تساهم في تطوير مدينة,وزارة الشؤون البلدية والقروية والإسكان
"الشخصية اللي يدعي لها كل من زار المدينة و اهل المدينة، اجزم انا شخصياً و انا من سكان العاصمة الرياض ان المدينة المنورة بشوارعها و طرقها و حدائقها و مماشيها اجمل من اي مدينة بالسعودية….
 امين منطقة المدينة المنورة ورئيس هيئة تطويرها سعادة المهندس فهد البليهشي",وزارة الشؤون البلدية والقروية والإسكان
أنا ضد إزالة أي شجرة إلا في حالة إعادة زراعتها في مكان آخر .,وزارة الشؤون البلدية والقروية والإسكان
"أخر الاعمال في مشروع 
 نفق طريق الأمير عبدالمجيد مع طريق
 سلطانة بنسبة إنجاز تبلغ ???",وزارة الشؤون البلدية والقروية والإسكان
ياليت يفتتح قبل رمضان احنا بوسط المعاناة ورمضان راح يكون اشد,وزارة الشؤون البلدية والقروية والإسكان
هكذا يبدو طريق السلام في,وزارة الشؤون البلدية والقروية والإسكان
"انجازات عظيمه.... با ايادي
 مخلصه.... ووفاء لوطن حاظن لشعبه
 الابي... بقيادة مليك.... يرتفع به الوطن
 شموخ ونهظه جباره... وفقكم الله
 يامن نهظ بالمدينه الى الوجه المشرف",وزارة الشؤون البلدية والقروية والإسكان
"زحام المدينة فضيع جداً
 
 لازم تطوير احياء اطراف المدينة عشان الناس تشد لها اغلبهم عندهم اراضي بس ماهم عازمين يبنوها في ظل الخدمات الضعيفة",وزارة الشؤون البلدية والقروية والإسكان
"زاد حجم المرور على طريق الملك فهد بالرياض عن السِّعة التصميمية له بنسبة 
 أكثر من 400%!!
 
 هذه الزيادة تتطلب حلولاً قصيرة المدى وحلولاً إستراتيجية.!!
 
 من الحلول المقترحة:
 
 زيادة عدد المسارات لكل إتجاه بحيث تصبح ? مسارات (يشمل ذلك الأنفاق)..
 
 وذلك بترحيل الجزيرة الفاصلة مع طرق…",وزارة الشؤون البلدية والقروية والإسكان
التخطيط الجديد للمدينة هي الحل الأمثل في الشوارع المزدحمة ومن المفترض تطبيقها وتعميمها مع إيقاف التخطيط السابق,وزارة الشؤون البلدية والقروية والإسكان
للأسف الشديد مثل هذي المشاهد نراها بجميع احياء المدينة وهي تتكرر من المقيمين والوافدين ونريد حل جذري وواحده منها هي المخالفة واذا بلّغ الشخص واثبتها بمقطع فيديو مثلاً يأخذ نصف المخالفة مكافأة له,وزارة الشؤون البلدية والقروية والإسكان
"عندي اقتراح مدري مكانه هينا ولا ! 
 المواقف في طريق سلطانه وممشى الهجره وغيرها من الاماكن المزدحمه ! ليه مايكون عليها رسوم اذا الشخص وقف اكثر من ساعه او ساعتين لان لاحظت فيه ناس تترك سيارتها وتمشي !؟ طيب المنطقه مزدحمه اصلن ! يا مطعم ياتسوق من محل معين!",وزارة الشؤون البلدية والقروية والإسكان
ممشى طريق الإمام علي بن ابي طالب أسفلت متعب في المشي ياليت أمانة المدينة تعيد النظر في وضعه,وزارة الشؤون البلدية والقروية والإسكان
لنا اكتر من شهرين ومعاملتنا ضايعه في امانه المدينه قسم المنح والله المستعان,وزارة الشؤون البلدية والقروية والإسكان
لا حياة لمن تنادي بياكلنا الباعوض,وزارة الشؤون البلدية والقروية والإسكان
